Start , End , posX , posY , speedDirection , appsofUEs.at(i) 
47.58,88.04,807,615,0.628,2
88.84,216.82,861,928,0.767556,1
27.865,199.38,254,462,2.669,2
4.43,90.085,872,131,3.14,1
77.565,222.43,236,937,5.44267,3
97.325,188.19,509,540,5.91367,1
0.27,61.36,893,586,5.75667,1
24.93,119.69,123,210,1.58744,1
101.32,245.58,436,256,3.22722,2
35.04,326.82,121,210,3.89011,1
103.895,298.35,226,597,4.83211,1
5.94,95.775,307,139,0.122111,2
35.18,40.94,984,208,5.63456,3
54.105,105.28,871,266,5.19844,1
25.52,139,142,840,0.0523333,3
62.99,105.415,509,322,5.37289,2
119.07,148.53,817,832,2.18056,1
77.055,214.67,946,554,1.34322,1
148.77,286.38,993,247,5.04144,3
42.07,175.8,822,951,4.32622,2
91.06,217.57,116,510,4.48322,1
72.74,145.85,6,807,4.90189,3
39.59,165.74,842,303,0.610556,2
5.4,89.58,179,567,1.08156,1
163.875,344.42,869,205,3.01789,3
49.9,71.655,872,515,4.41344,1
13.52,286.74,147,760,3.41911,1
106.895,271.31,774,964,2.44222,3
68.62,129.655,252,602,1.86656,2
43.96,108.81,141,756,1.79678,1
94.265,220.85,735,997,0.819889,2
56.29,278.38,182,891,3.27956,1
19.57,119.61,193,480,2.28522,1
78.205,121.27,438,977,0.0523333,1
50.725,179.64,866,457,1.29089,2
170.04,289.6,214,766,0.889667,3
37.145,155.74,755,879,0.505889,3
51.37,116.64,161,853,5.12867,2
19.94,64.58,771,181,3.14,2
60.83,175.21,259,465,1.50022,3
160.04,285.06,382,759,6.21022,1
90.375,278.17,240,196,0.296556,3
175.45,347.21,821,784,6.10556,2
55.62,257.28,924,851,4.15178,3
46.56,338.67,164,395,3.05278,2
78.18,99.29,101,255,0.244222,3
1.61,146.92,763,906,3.97733,1
71.585,129.22,362,697,2.669,3
173.42,190.98,439,588,0.174444,2
166.48,171.17,499,660,0.889667,1
